Old Filename,New Filename
ActivityLineItemALI,capital_projects__activity_line_items
AddinganAsset,assets__new_asset
AgencyStatus,capital_plans
ALIFilterMenu,user_activity_line_item_filters
ApplyingaPolicy,policies__runner
AssetDetailPage,assets__show
AssetsandInventory,assets
AssetTablePage,assets__index
AssetTablesandDetailPages,manufacturers
AuditManagement,audits
AuditResults,audit_results
BulkActions,uploads
CapitalPlanning,capital_projects
CopyinganAsset,assets__copy
Dashboard,dashboards
dotGrantsImportExport,dotgrants_migrations
Groups,asset_groups
Messaging,messages
NewCapitalProject,capital_projects__new
OrganizationFilterMenu,user_organization_filters
OrganizationsandOrganizationType,organizations
Policy,policies
ProjectPlanner,planning
Reporting,reports
SearchMenu,searches
SearchQuery,saved_searches
SOGRCapitalProjectAnalyzer,capital_projects__builder
TasksandAssignments,tasks
UsersandUserTypes,users
Programs1,funding_sources